raza,categoria,costo_total_vida,longevidad_media,no_posibles_enfermedades_gen,precio_de_compra_promedio,costo_comida_anual,ciclo_cuidado_de_pelo,compatibilidad_con_niños,calificacion_popular,tamaño,peso_kg,altura_hombros_cm,categoria_de_entrenabilidad,no_rep_para_apreender,obedecer_a_la_primera_porcentaje,posibles_enfermedades_geneticas_resumen,posibles_enfermedades_geneticas_especifico,nivel_de_precio,precio_mas_bajo,precio_mas_alto,prom_comida_vida,prom_otros_gastos_vida
Finnish Lapphund,herding,19819,7.33,1,795,489,1,1,51.0,medium,20.35,47,no data,no data,no data,no data,no data,no data,no data,no data,"2,934","7,667"
Finnish Spitz,non-sporting,19819,11.17,0,795,489,2,1,51.0,medium,20.35,45,Average,25-40,>50,none,none,no data,no data,no data,"4,471","11,683"
German Pinscher,working,19819,11.42,1,1500,489,2,1,51.0,medium,20.35,47,no data,no data,no data,no data,no data,high-end,1500,1500,no data,"11,945"
German Wirehaired Pointer,sporting,19819,10.0,1,655,489,2,1,51.0,large,20.35,61,Average,25-40,>50,hip problems,hip dysplasia,budget,600,800,no data,"10,459"
Glen of Imaal Terrier,terrier,19819,10.42,1,795,489,2,1,51.0,small,16.0,34,no data,no data,no data,no data,no data,no data,no data,no data,no data,"10,899"
Great Pyrenees,working,19819,10.0,1,503,489,2,1,51.0,large,20.35,72,Fair,40-80,>30,hip problems,hip dysplasia,budget,225,800,no data,"10,459"
Greater Swiss Mountain Dog,working,19819,6.8,1,1605,489,2,1,51.0,large,20.35,66,no data,no data,no data,hip problems,hip dysplasia,high-end,900,2500,no data,"7,112"
Harrier,hound,19819,10.95,0,795,489,2,1,51.0,medium,20.35,51,no data,no data,no data,none,none,no data,no data,no data,no data,no data
Havanese,toy,19819,10.25,0,830,489,2,1,51.0,small,20.35,25,no data,no data,no data,none,none,mid-price,300,1500,no data,"10,721"
Ibizan Hound,hound,19819,10.95,0,1500,489,2,1,51.0,large,20.35,64,Average,25-40,>50,none,none,high-end,1500,1500,no data,no data
Icelandic Sheepdog,herding,19819,10.95,1,795,489,2,1,51.0,medium,20.35,44,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Irish Red and White Setter,sporting,19819,11.57,1,1000,489,2,1,51.0,large,20.35,62,no data,no data,no data,no data,no data,mid-price,"1,000","1,000",no data,"12,102"
Irish Terrier,terrier,19819,10.95,0,588,489,2,1,51.0,medium,12.0,46,Average,25-40,>50,none,none,budget,400,850,no data,no data
Irish Water Spaniel,sporting,19819,9.33,1,795,489,2,1,51.0,medium,25.0,57,Excellent,5-15,>85,hip problems,hip dysplasia,no data,no data,no data,"5,683","9,759"
Japanese Chin,toy,19819,9.25,0,513,489,2,1,51.0,small,20.35,24,Fair,40-80,>30,none,none,budget,200,800,no data,"9,675"
Keeshond,non-sporting,19819,12.17,1,610,489,2,1,51.0,medium,20.35,44,Excellent,5-15,>85,hip problems,hip dysplasia,budget,350,1000,no data,"12,729"
Komondor,working,19819,9.17,1,656,489,2,1,51.0,large,45.0,70,no data,no data,no data,hip problems,hip dysplasia,budget,500,850,no data,"9,591"
Kuvasz,working,19819,10.95,1,795,489,2,1,51.0,large,42.0,71,Average,25-40,>50,hip problems,hip dysplasia,no data,no data,no data,no data,no data
Lakeland Terrier,terrier,19819,10.95,0,1093,489,2,1,51.0,small,8.0,37,Fair,40-80,>30,none,none,mid-price,575,1600,no data,no data
Leonberger,working,15141,6.98,1,1480,489,2,1,51.0,large,20.35,72,no data,no data,no data,no data,no data,mid-price,700,1800,"4,251","7,301"
Löwchen,non-sporting,19819,10.0,0,795,489,2,1,51.0,small,20.35,33,no data,no data,no data,none,none,no data,no data,no data,no data,"10,459"
